time_s,x_m,y_m,vx_m_s,vy_m_s
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,-1.500000,1.000000,0.000000,0.000000
0.000000,-1.500000,1.000000,0.000000,0.000000
0.000100,-1.499975,0.999983,0.024958,-0.016644
0.000600,-1.499975,0.999983,0.024958,-0.016644
0.001000,-1.499975,0.999983,0.024958,-0.016644
0.002000,-1.499925,0.999950,0.049576,-0.033062
0.003000,-1.499852,0.999901,0.073859,-0.049255
0.004000,-1.499754,0.999836,0.097809,-0.065224
0.005000,-1.499632,0.999755,0.121429,-0.080972
0.006000,-1.499488,0.999658,0.144723,-0.096501
0.007000,-1.499320,0.999547,0.167692,-0.111810
0.008000,-1.499130,0.999420,0.190341,-0.126903
0.009000,-1.498917,0.999278,0.212672,-0.141781
0.010000,-1.498682,0.999121,0.234688,-0.156444
0.011000,-1.498426,0.998951,0.256392,-0.170896
0.012000,-1.498148,0.998765,0.277786,-0.185137
0.013000,-1.497849,0.998566,0.298875,-0.199170
0.014000,-1.497530,0.998353,0.319659,-0.212995
0.015000,-1.497189,0.998127,0.340143,-0.226614
0.015625,-1.496829,0.997887,0.360329,-0.240029
0.016000,-1.496829,0.997887,0.360329,-0.240029
0.017000,-1.496449,0.997633,0.380220,-0.253242
0.018000,-1.496049,0.997367,0.399819,-0.266254
0.019000,-1.495630,0.997088,0.419128,-0.279067
0.020000,-1.495192,0.996796,0.438150,-0.291683
0.021000,-1.494735,0.996492,0.456887,-0.304102
0.022000,-1.494260,0.996176,0.475343,-0.316327
0.023000,-1.493766,0.995848,0.493521,-0.328359
0.024000,-1.493255,0.995507,0.511421,-0.340199
0.025000,-1.492726,0.995155,0.529049,-0.351851
0.026000,-1.492179,0.994792,0.546405,-0.363314
0.027000,-1.491616,0.994418,0.563493,-0.374591
0.028000,-1.491035,0.994032,0.580314,-0.385683
0.029000,-1.490438,0.993635,0.596873,-0.396591
0.030000,-1.489825,0.993228,0.613170,-0.407319
0.031000,-1.489196,0.992810,0.629209,-0.417866
0.031250,-1.488551,0.992382,0.644993,-0.428234
0.032000,-1.488551,0.992382,0.644993,-0.428234
0.033000,-1.487891,0.991943,0.660522,-0.438426
0.034000,-1.487215,0.991495,0.675801,-0.448442
0.035000,-1.486524,0.991037,0.690832,-0.458284
0.036000,-1.485818,0.990569,0.705616,-0.467954
0.037000,-1.485098,0.990091,0.720156,-0.477454
0.038000,-1.484364,0.989605,0.734455,-0.486784
0.039000,-1.483615,0.989109,0.748515,-0.495946
0.040000,-1.482853,0.988604,0.762338,-0.504943
0.041000,-1.482077,0.988090,0.775927,-0.513775
0.042000,-1.481288,0.987567,0.789284,-0.522443
0.043000,-1.480485,0.987036,0.802411,-0.530950
0.044000,-1.479670,0.986497,0.815311,-0.539297
0.045000,-1.478842,0.985950,0.827985,-0.547486
0.046000,-1.478001,0.985394,0.840436,-0.555517
0.046875,-1.477149,0.984831,0.852667,-0.563393
0.047000,-1.477149,0.984831,0.852667,-0.563393
0.048000,-1.476284,0.984260,0.864679,-0.571115
0.049000,-1.475408,0.983681,0.876474,-0.578684
0.050000,-1.474520,0.983095,0.888056,-0.586102
0.051000,-1.473620,0.982502,0.899425,-0.593370
0.052000,-1.472710,0.981901,0.910584,-0.600489
0.053000,-1.471788,0.981294,0.921536,-0.607462
0.054000,-1.470856,0.980679,0.932282,-0.614290
0.055000,-1.469913,0.980058,0.942824,-0.620973
0.056000,-1.468960,0.979431,0.953165,-0.627514
0.057000,-1.467996,0.978797,0.963306,-0.633914
0.058000,-1.467023,0.978157,0.973250,-0.640173
0.059000,-1.466040,0.977510,0.982999,-0.646295
0.060000,-1.465048,0.976858,0.992554,-0.652279
0.061000,-1.464046,0.976200,1.001918,-0.658128
0.062000,-1.463035,0.975536,1.011093,-0.663843
0.062500,-1.462015,0.974867,1.020080,-0.669425
0.063000,-1.462015,0.974867,1.020080,-0.669425
0.064000,-1.460986,0.974192,1.028882,-0.674875
0.065000,-1.459948,0.973512,1.037501,-0.680195
